web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien
"1771529357-112","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chatons 2 et 3 mois","Prix sur demande","Grand Dakar, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/chatons-2-et-3-mois-3222114"
"1771529357-113","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches ondulées","20 000CFA","Point E, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-3215371"
"1771529357-114","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies","60 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oies-3172011"
"1771529357-115","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies","60 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oies-3172006"
"1771529357-116","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cheval","450 000CFA","Pikine, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/cheval-3169679"
"1771529357-117","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cailles","Prix sur demande","Touba, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/cailles-3169648"
"1771529357-118","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couple dinde","Prix sur demande","Touba, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/couple-dinde-3169645"
"1771529357-119","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dinde","Prix sur demande","Touba, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/dinde-3165522"
"1771529357-120","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Paonneau","Prix sur demande","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/paonneau-3164991"
"1771529357-121","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Rat","Prix sur demande","Almadies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/rat-3156125"
"1771529357-122","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Poisson vivant","Prix sur demande","Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/poisson-vivant-3140939"
"1771529357-123","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeuf","800 000CFA","Bambey, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-3140204"
"1771529357-124","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oie géant","85 000CFA","Mbour, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oie-geant-3133835"
"1771529357-125","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couple colvert","30 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/couple-colvert-3127244"
"1771529357-126","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oiseaux exotiques","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oiseaux-exotiques-3119376"
"1771529357-127","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couple perruches ondulées","100 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/couple-perruches-ondulees-3116528"
"1771529357-128","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vache","300 000CFA","HLM, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/vache-3095614"
"1771529357-129","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Trio dindes d’amérique","65 000CFA","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/trio-dindes-damerique-3092550"
"1771529357-130","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couple perruche arc en ciel","40 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/couple-perruche-arc-en-ciel-3092218"
"1771529357-131","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Taureau - géniteur laitier","2 000 000CFA","Sicap Liberté, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/taureau-geniteur-laitier-3087054"
"1771529357-132","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton","Prix sur demande","Almadies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/chaton-3054622"
"1771529357-133","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cheval","650 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/cheval-3053064"
"1771529357-134","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Taureau géniteur laitier","2 000 000CFA","Sicap Liberté, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/taureau-geniteur-laitier-3039728"
"1771529357-135","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oisillons","25 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oisillons-3026572"
"1771529357-136","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oie adulte","80 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oie-adulte-3025291"
